family,method,rna_types
RF00955,so-term,precursor_RNA
RF00956,so-term,precursor_RNA
RF00957,so-term,precursor_RNA
RF00958,so-term,precursor_RNA
RF00959,so-term,precursor_RNA
RF00960,so-term,precursor_RNA
RF00961,so-term,precursor_RNA
RF00962,so-term,precursor_RNA
RF00963,so-term,precursor_RNA
RF00964,so-term,precursor_RNA
RF00965,so-term,precursor_RNA
RF00966,so-term,precursor_RNA
RF00967,so-term,precursor_RNA
RF00968,so-term,precursor_RNA
RF00969,so-term,precursor_RNA
RF00970,so-term,precursor_RNA
RF00971,so-term,precursor_RNA
RF00972,so-term,precursor_RNA
RF00973,so-term,precursor_RNA
RF00974,so-term,precursor_RNA
RF00975,so-term,precursor_RNA
RF00976,so-term,precursor_RNA
RF00977,so-term,precursor_RNA
RF00978,so-term,precursor_RNA
RF00979,so-term,precursor_RNA
RF00980,so-term,precursor_RNA
RF00981,so-term,precursor_RNA
RF00983,so-term,precursor_RNA
RF00984,so-term,precursor_RNA
RF00985,so-term,precursor_RNA
RF00986,so-term,precursor_RNA
RF00987,so-term,precursor_RNA
RF00988,so-term,precursor_RNA
RF00989,so-term,precursor_RNA
RF00990,so-term,precursor_RNA
RF00991,so-term,precursor_RNA
RF00992,so-term,precursor_RNA
RF00993,so-term,precursor_RNA
RF00994,so-term,precursor_RNA
RF00995,so-term,precursor_RNA
RF00996,so-term,precursor_RNA
RF00997,so-term,precursor_RNA
RF00998,so-term,precursor_RNA
RF00999,so-term,precursor_RNA
RF01000,so-term,precursor_RNA
RF01001,so-term,precursor_RNA
RF01002,so-term,precursor_RNA
RF01003,so-term,precursor_RNA
RF01004,so-term,precursor_RNA
RF01005,so-term,precursor_RNA
RF01006,so-term,precursor_RNA
RF01007,so-term,precursor_RNA
RF01008,so-term,precursor_RNA
RF01009,so-term,precursor_RNA
RF01010,so-term,precursor_RNA
RF01011,so-term,precursor_RNA
RF01012,so-term,precursor_RNA
RF01013,so-term,precursor_RNA
RF01014,so-term,precursor_RNA
RF01015,so-term,precursor_RNA
RF01016,so-term,precursor_RNA
RF01018,so-term,precursor_RNA
RF01019,so-term,precursor_RNA
RF01020,so-term,precursor_RNA
RF01021,so-term,precursor_RNA
RF01022,so-term,precursor_RNA
RF01023,so-term,precursor_RNA
RF01024,so-term,precursor_RNA
RF01025,so-term,precursor_RNA
RF01026,so-term,precursor_RNA
RF01027,so-term,precursor_RNA
RF01028,so-term,precursor_RNA
RF01029,so-term,precursor_RNA
RF01030,so-term,precursor_RNA
RF01031,so-term,precursor_RNA
RF01032,so-term,precursor_RNA
RF01033,so-term,precursor_RNA
RF01034,so-term,precursor_RNA
RF01035,so-term,precursor_RNA
RF01036,so-term,precursor_RNA
RF01037,so-term,precursor_RNA
RF01038,so-term,precursor_RNA
RF01039,so-term,precursor_RNA
RF01040,so-term,precursor_RNA
RF01041,so-term,precursor_RNA
RF01042,so-term,precursor_RNA
RF01043,so-term,precursor_RNA
RF01044,so-term,precursor_RNA
RF01045,so-term,precursor_RNA
RF01046,fallbacks,
RF01047,fallbacks,
RF01050,name,telomerase_RNA
RF01051,fallbacks,
RF01052,so-term,snRNA
RF01053,name,Y_RNA
RF01054,fallbacks,
RF01055,fallbacks,
RF01056,fallbacks,
RF01057,fallbacks,
RF01059,so-term,precursor_RNA
RF01061,so-term,precursor_RNA
RF01064,so-term,precursor_RNA
RF01065,fallbacks,
RF01066,fallbacks,
RF01067,fallbacks,
RF01068,fallbacks,
RF01069,fallbacks,
RF01070,fallbacks,
RF01071,fallbacks,
RF01072,fallbacks,
RF01073,fallbacks,
RF01074,fallbacks,
RF01075,fallbacks,
RF01076,fallbacks,
RF01077,fallbacks,
RF01078,fallbacks,
RF01079,fallbacks,
RF01080,fallbacks,
RF01081,fallbacks,
RF01082,fallbacks,
RF01083,fallbacks,
RF01084,fallbacks,
RF01085,fallbacks,
RF01087,fallbacks,
RF01088,fallbacks,
RF01089,fallbacks,
RF01090,fallbacks,
RF01091,fallbacks,
RF01092,fallbacks,
RF01093,fallbacks,
RF01094,fallbacks,
RF01095,fallbacks,
RF01096,fallbacks,
RF01097,fallbacks,
RF01098,fallbacks,
RF01099,fallbacks,
RF01100,fallbacks,
RF01101,fallbacks,
RF01102,fallbacks,
RF01103,fallbacks,
RF01104,fallbacks,
RF01105,fallbacks,
RF01106,fallbacks,
RF01107,fallbacks,
RF01108,fallbacks,
RF01109,fallbacks,
RF01111,fallbacks,
RF01113,fallbacks,
RF01114,fallbacks,
RF01116,rna-type,other
RF01117,so-term,precursor_RNA
RF01118,rna-type,rRNA
RF01119,rna-type,snoRNA
RF01120,rna-type,snoRNA
RF01121,rna-type,snoRNA
RF01122,rna-type,snoRNA
RF01123,rna-type,snoRNA
RF01124,rna-type,snoRNA
RF01125,rna-type,snoRNA
RF01126,rna-type,snoRNA
RF01127,rna-type,snoRNA
RF01128,rna-type,snoRNA
RF01129,rna-type,snoRNA
RF01130,rna-type,snoRNA
RF01131,rna-type,snoRNA
RF01132,rna-type,snoRNA
RF01133,rna-type,snoRNA
RF01134,rna-type,snoRNA
RF01135,rna-type,snoRNA
RF01136,rna-type,snoRNA
RF01137,rna-type,snoRNA
RF01138,rna-type,snoRNA
RF01139,rna-type,snoRNA
RF01140,rna-type,snoRNA
RF01141,rna-type,snoRNA
RF01142,rna-type,snoRNA
RF01143,rna-type,snoRNA
RF01144,rna-type,snoRNA
RF01145,rna-type,snoRNA
RF01146,rna-type,snoRNA
RF01147,rna-type,snoRNA
RF01149,rna-type,snoRNA
RF01150,rna-type,snoRNA
RF01151,rna-type,snoRNA
RF01152,rna-type,snoRNA
RF01153,rna-type,snoRNA
RF01155,rna-type,snoRNA
RF01156,rna-type,snoRNA
RF01157,rna-type,snoRNA
RF01158,rna-type,snoRNA
RF01159,rna-type,snoRNA
RF01160,rna-type,snoRNA
RF01161,rna-type,snoRNA
RF01162,rna-type,snoRNA
RF01163,rna-type,snoRNA
RF01164,rna-type,snoRNA
RF01165,rna-type,snoRNA
RF01166,rna-type,snoRNA
RF01167,rna-type,snoRNA
RF01168,rna-type,snoRNA
RF01169,rna-type,snoRNA
RF01170,rna-type,snoRNA
RF01171,rna-type,snoRNA
RF01172,rna-type,snoRNA
RF01173,rna-type,snoRNA
RF01174,rna-type,snoRNA
RF01175,rna-type,snoRNA
RF01176,rna-type,snoRNA
RF01177,rna-type,snoRNA
RF01178,rna-type,snoRNA
RF01179,rna-type,snoRNA
RF01180,rna-type,snoRNA
RF01181,rna-type,snoRNA
RF01182,rna-type,snoRNA
RF01183,rna-type,snoRNA
RF01184,rna-type,snoRNA
RF01185,rna-type,snoRNA
RF01186,rna-type,snoRNA
RF01188,rna-type,snoRNA
RF01189,rna-type,snoRNA
RF01190,rna-type,snoRNA
RF01191,rna-type,snoRNA
RF01192,rna-type,snoRNA
RF01193,rna-type,snoRNA
RF01194,rna-type,snoRNA
RF01195,rna-type,snoRNA
RF01196,rna-type,snoRNA
RF01197,rna-type,snoRNA
RF01198,rna-type,snoRNA
RF01199,rna-type,snoRNA
RF01200,rna-type,snoRNA
RF01201,rna-type,snoRNA
RF01202,rna-type,snoRNA
RF01203,rna-type,snoRNA
RF01204,rna-type,snoRNA
RF01205,rna-type,snoRNA
RF01206,rna-type,snoRNA
RF01207,rna-type,snoRNA
RF01208,rna-type,snoRNA
RF01209,rna-type,snoRNA
RF01210,rna-type,snoRNA
RF01211,rna-type,snoRNA
RF01212,rna-type,snoRNA
RF01213,rna-type,snoRNA
RF01214,rna-type,snoRNA
RF01215,rna-type,snoRNA
RF01216,rna-type,snoRNA
RF01218,rna-type,snoRNA
RF01219,rna-type,snoRNA
RF01220,rna-type,snoRNA
RF01221,rna-type,snoRNA
RF01222,rna-type,snoRNA
RF01223,rna-type,snoRNA
RF01224,rna-type,snoRNA
RF01225,rna-type,snoRNA
RF01226,rna-type,snoRNA
RF01227,rna-type,snoRNA
RF01228,rna-type,snoRNA
RF01229,rna-type,snoRNA
RF01230,rna-type,snoRNA
RF01231,rna-type,snoRNA
RF01232,rna-type,snoRNA
RF01233,rna-type,snoRNA
RF01234,rna-type,snoRNA
RF01235,rna-type,snoRNA
RF01236,rna-type,snoRNA
RF01237,rna-type,snoRNA
RF01238,rna-type,snoRNA
RF01239,rna-type,snoRNA
RF01240,rna-type,snoRNA
RF01241,rna-type,snoRNA
RF01242,rna-type,snoRNA
RF01243,rna-type,snoRNA
RF01244,rna-type,snoRNA
RF01245,rna-type,snoRNA
RF01246,rna-type,snoRNA
RF01247,rna-type,snoRNA
RF01248,rna-type,snoRNA
RF01249,rna-type,snoRNA
RF01250,rna-type,snoRNA
RF01251,rna-type,snoRNA
RF01252,rna-type,snoRNA
RF01253,rna-type,snoRNA
RF01254,rna-type,snoRNA
RF01255,rna-type,snoRNA
RF01256,rna-type,snoRNA
RF01257,rna-type,snoRNA
RF01258,rna-type,snoRNA
RF01259,rna-type,snoRNA
RF01260,rna-type,snoRNA
RF01261,rna-type,snoRNA
RF01262,rna-type,snoRNA
RF01263,rna-type,snoRNA
RF01264,rna-type,snoRNA
RF01265,rna-type,snoRNA
RF01266,rna-type,snoRNA
RF01267,rna-type,snoRNA
RF01268,rna-type,snoRNA
RF01269,rna-type,snoRNA
RF01270,rna-type,snoRNA
RF01271,rna-type,snoRNA
RF01272,rna-type,snoRNA
RF01273,rna-type,snoRNA
RF01274,rna-type,snoRNA
RF01275,rna-type,snoRNA
RF01276,rna-type,snoRNA
RF01277,rna-type,snoRNA
RF01278,rna-type,snoRNA
RF01279,rna-type,snoRNA
RF01280,rna-type,snoRNA
RF01281,rna-type,snoRNA
RF01283,rna-type,snoRNA
RF01284,rna-type,snoRNA
RF01285,rna-type,snoRNA
RF01286,rna-type,snoRNA
RF01287,rna-type,snoRNA
RF01288,rna-type,snoRNA
RF01289,rna-type,snoRNA
RF01290,rna-type,snoRNA
RF01291,rna-type,snoRNA
RF01292,rna-type,snoRNA
RF01293,rna-type,snoRNA
RF01294,rna-type,snoRNA
RF01295,rna-type,snoRNA
RF01296,rna-type,snoRNA
RF01297,rna-type,snoRNA
RF01298,rna-type,snoRNA
RF01299,rna-type,snoRNA
RF01300,rna-type,snoRNA
RF01301,rna-type,snoRNA
RF01302,rna-type,snoRNA
RF01303,rna-type,snoRNA
RF01304,rna-type,snoRNA
RF01305,rna-type,snoRNA
RF01306,rna-type,snoRNA
RF01307,rna-type,snoRNA
RF01308,rna-type,snoRNA
RF01309,rna-type,snoRNA
RF01310,rna-type,snoRNA
RF01312,rna-type,snoRNA
RF01313,fallbacks,
RF01314,so-term,precursor_RNA
RF01315,fallbacks,
RF01316,fallbacks,
RF01317,fallbacks,
RF01318,fallbacks,
RF01319,fallbacks,
RF01320,fallbacks,
RF01321,fallbacks,
RF01322,fallbacks,
RF01323,fallbacks,
RF01324,fallbacks,
RF01325,fallbacks,
RF01326,fallbacks,
RF01327,fallbacks,
RF01328,fallbacks,
RF01329,fallbacks,
RF01330,fallbacks,
RF01331,fallbacks,
RF01332,fallbacks,
RF01333,fallbacks,
RF01334,fallbacks,
RF01335,fallbacks,
RF01336,fallbacks,
RF01337,fallbacks,
RF01338,fallbacks,
RF01339,fallbacks,
RF01340,fallbacks,
RF01341,fallbacks,
RF01342,fallbacks,
RF01343,fallbacks,
RF01344,fallbacks,
RF01345,fallbacks,
RF01346,fallbacks,
RF01347,fallbacks,
RF01348,fallbacks,
RF01349,fallbacks,
RF01350,fallbacks,
RF01351,fallbacks,
RF01352,fallbacks,
RF01353,fallbacks,
RF01354,fallbacks,
RF01355,fallbacks,
RF01356,fallbacks,
RF01357,fallbacks,
RF01358,fallbacks,
RF01359,fallbacks,
RF01360,fallbacks,
RF01361,fallbacks,
RF01362,fallbacks,
RF01363,fallbacks,
RF01364,fallbacks,
RF01365,fallbacks,
RF01366,fallbacks,
RF01367,fallbacks,
RF01368,fallbacks,
RF01369,fallbacks,
RF01370,fallbacks,
RF01371,fallbacks,
RF01373,fallbacks,
RF01374,fallbacks,
RF01375,fallbacks,
RF01376,fallbacks,
RF01377,fallbacks,
RF01378,fallbacks,
RF01379,fallbacks,
RF01380,fallbacks,
RF01381,fallbacks,
RF01382,fallbacks,
RF01383,fallbacks,
RF01384,fallbacks,
RF01385,rna-type,other
RF01386,rna-type,other
RF01387,rna-type,other
RF01388,rna-type,other
RF01389,rna-type,other
RF01390,rna-type,other
RF01391,rna-type,other
RF01392,rna-type,other
RF01393,rna-type,other
RF01394,rna-type,other
RF01395,rna-type,other
RF01396,rna-type,other
RF01397,rna-type,other
RF01398,name,SRP_RNA
RF01399,rna-type,other
RF01400,fallbacks,
RF01401,rna-type,other
RF01402,rna-type,other
RF01403,rna-type,other
RF01404,rna-type,other
RF01405,rna-type,other
RF01406,rna-type,other
RF01407,rna-type,other
RF01408,rna-type,other
RF01409,rna-type,other
RF01410,rna-type,other
RF01411,rna-type,other
RF01412,rna-type,other
RF01413,so-term,precursor_RNA
RF01414,fallbacks,
RF01415,fallbacks,
RF01416,fallbacks,
RF01417,fallbacks,
RF01418,fallbacks,
RF01419,fallbacks,
RF01420,rna-type,snoRNA
RF01421,rna-type,snoRNA
RF01422,rna-type,snoRNA
RF01423,rna-type,snoRNA
RF01424,rna-type,snoRNA
RF01425,rna-type,snoRNA
RF01426,rna-type,snoRNA
RF01427,rna-type,snoRNA
RF01428,rna-type,snoRNA
RF01429,rna-type,snoRNA
RF01430,rna-type,snoRNA
RF01431,rna-type,snoRNA
RF01432,rna-type,snoRNA
RF01433,rna-type,snoRNA
RF01434,rna-type,snoRNA
RF01435,rna-type,snoRNA
RF01436,rna-type,snoRNA
RF01437,rna-type,snoRNA
RF01438,rna-type,snoRNA
RF01439,rna-type,snoRNA
RF01440,rna-type,snoRNA
RF01441,rna-type,snoRNA
RF01442,rna-type,snoRNA
RF01443,rna-type,snoRNA
RF01444,rna-type,snoRNA
RF01445,rna-type,snoRNA
RF01446,rna-type,snoRNA
RF01447,rna-type,snoRNA
RF01448,rna-type,snoRNA
RF01449,rna-type,snoRNA
RF01450,rna-type,snoRNA
RF01451,rna-type,snoRNA
RF01452,rna-type,snoRNA
RF01453,fallbacks,
RF01454,fallbacks,
RF01455,fallbacks,
RF01456,fallbacks,
RF01457,rna-type,other
RF01458,fallbacks,
RF01459,rna-type,other
RF01460,rna-type,other
RF01461,rna-type,other
RF01462,rna-type,other
RF01463,rna-type,other
RF01464,rna-type,other
RF01465,rna-type,other
RF01466,rna-type,other
RF01467,rna-type,other
RF01468,rna-type,other
RF01469,rna-type,other
RF01470,rna-type,other
RF01471,rna-type,other
RF01472,rna-type,other
RF01473,rna-type,other
RF01474,rna-type,other
RF01475,fallbacks,
RF01476,rna-type,other
RF01477,rna-type,other
RF01478,rna-type,other
RF01479,rna-type,other
RF01480,fallbacks,
RF01481,fallbacks,
RF01482,fallbacks,
RF01483,fallbacks,
RF01484,fallbacks,
RF01485,fallbacks,
RF01486,fallbacks,
RF01487,rna-type,other
RF01488,rna-type,other
RF01489,rna-type,other
RF01490,fallbacks,
RF01491,fallbacks,
RF01492,rna-type,other
RF01493,rna-type,other
RF01494,fallbacks,
RF01495,fallbacks,
RF01496,rna-type,other
RF01497,fallbacks,
RF01498,rna-type,snoRNA
RF01499,rna-type,snoRNA
RF01500,rna-type,snoRNA
RF01501,rna-type,snoRNA
RF01502,name,SRP_RNA
RF01503,rna-type,other
RF01504,rna-type,other
RF01505,rna-type,snoRNA
RF01506,rna-type,snoRNA
RF01507,rna-type,snoRNA
RF01508,fallbacks,
RF01509,rna-type,snoRNA
RF01510,fallbacks,
RF01511,rna-type,snoRNA
RF01512,rna-type,other
RF01513,rna-type,snoRNA
RF01514,rna-type,snoRNA
RF01515,rna-type,snoRNA
RF01516,rna-type,snoRNA
RF01517,fallbacks,
RF01518,fallbacks,
RF01519,rna-type,other
RF01520,rna-type,other
RF01521,rna-type,other
RF01522,rna-type,snoRNA
RF01523,rna-type,snoRNA
RF01524,rna-type,snoRNA
RF01525,rna-type,snoRNA
RF01526,rna-type,snoRNA
RF01527,rna-type,other
RF01528,rna-type,other
RF01529,rna-type,other
RF01530,rna-type,other
RF01531,rna-type,snoRNA
RF01532,rna-type,snoRNA
RF01533,rna-type,snoRNA
RF01534,rna-type,snoRNA
RF01535,rna-type,snoRNA
RF01536,rna-type,snoRNA
RF01537,rna-type,snoRNA
RF01538,rna-type,snoRNA
RF01539,rna-type,snoRNA
RF01540,rna-type,snoRNA
RF01541,rna-type,snoRNA
RF01542,rna-type,snoRNA
RF01543,rna-type,snoRNA
RF01544,rna-type,snoRNA
RF01545,rna-type,snoRNA
RF01546,rna-type,snoRNA
RF01547,rna-type,snoRNA
RF01548,rna-type,snoRNA
RF01549,rna-type,snoRNA
RF01550,rna-type,snoRNA
RF01551,rna-type,snoRNA
RF01552,rna-type,snoRNA
RF01553,rna-type,snoRNA
RF01554,rna-type,snoRNA
RF01555,rna-type,snoRNA
RF01556,rna-type,snoRNA
RF01557,rna-type,snoRNA
RF01558,rna-type,snoRNA
RF01559,rna-type,snoRNA
RF01560,rna-type,snoRNA
RF01561,rna-type,snoRNA
RF01562,rna-type,snoRNA
RF01563,rna-type,snoRNA
RF01564,rna-type,snoRNA
RF01565,rna-type,snoRNA
RF01566,rna-type,snoRNA
RF01567,rna-type,snoRNA
RF01568,rna-type,snoRNA
RF01569,rna-type,snoRNA
RF01570,name,SRP_RNA
RF01571,rna-type,other
RF01572,rna-type,snoRNA
RF01573,rna-type,snoRNA
RF01574,rna-type,snoRNA
RF01575,rna-type,snoRNA
RF01576,rna-type,snoRNA
RF01577,name,RNase_P_RNA
RF01578,rna-type,other
RF01579,rna-type,other
RF01580,rna-type,other
RF01581,rna-type,other
RF01582,rna-type,other
RF01583,rna-type,snoRNA
RF01584,rna-type,snoRNA
RF01585,rna-type,snoRNA
RF01586,rna-type,snoRNA
RF01587,rna-type,snoRNA
RF01588,rna-type,snoRNA
RF01589,rna-type,snoRNA
RF01590,rna-type,snoRNA
RF01591,rna-type,snoRNA
RF01592,rna-type,snoRNA
RF01593,rna-type,snoRNA
RF01594,rna-type,snoRNA
RF01595,rna-type,snoRNA
RF01596,rna-type,snoRNA
RF01597,rna-type,snoRNA
RF01598,rna-type,snoRNA
RF01599,rna-type,snoRNA
RF01600,rna-type,snoRNA
RF01601,rna-type,snoRNA
RF01602,rna-type,snoRNA
RF01603,rna-type,snoRNA
RF01604,rna-type,snoRNA
RF01605,rna-type,snoRNA
RF01606,rna-type,snoRNA
RF01607,rna-type,snoRNA
RF01608,rna-type,snoRNA
RF01609,rna-type,snoRNA
RF01610,rna-type,snoRNA
RF01611,rna-type,snoRNA
RF01612,rna-type,snoRNA
RF01613,rna-type,snoRNA
RF01614,rna-type,snoRNA
RF01615,rna-type,snoRNA
RF01617,rna-type,snoRNA
RF01618,rna-type,snoRNA
RF01619,rna-type,other
RF01620,rna-type,snoRNA
RF01621,rna-type,snoRNA
RF01622,rna-type,snoRNA
RF01623,rna-type,other
RF01624,rna-type,snoRNA
RF01625,rna-type,snoRNA
RF01626,rna-type,snoRNA
RF01627,rna-type,snoRNA
RF01628,rna-type,snoRNA
RF01629,rna-type,snoRNA
RF01630,rna-type,snoRNA
RF01631,rna-type,snoRNA
RF01632,rna-type,snoRNA
RF01633,rna-type,snoRNA
RF01634,rna-type,snoRNA
RF01635,rna-type,snoRNA
RF01636,rna-type,snoRNA
RF01637,rna-type,snoRNA
RF01638,rna-type,snoRNA
RF01639,rna-type,snoRNA
RF01640,rna-type,snoRNA
RF01641,rna-type,snoRNA
RF01642,rna-type,snoRNA
RF01643,rna-type,other
RF01644,rna-type,snoRNA
RF01645,rna-type,snoRNA
RF01646,rna-type,snoRNA
RF01647,rna-type,snoRNA
RF01648,rna-type,snoRNA
RF01649,rna-type,snoRNA
RF01650,rna-type,snoRNA
RF01651,rna-type,snoRNA
RF01652,rna-type,snoRNA
RF01653,rna-type,snoRNA
RF01654,rna-type,snoRNA
RF01655,rna-type,snoRNA
RF01656,rna-type,other
RF01658,rna-type,snoRNA
RF01659,rna-type,snoRNA
RF01660,rna-type,snoRNA
RF01661,rna-type,snoRNA
RF01662,rna-type,snoRNA
RF01663,rna-type,other
RF01664,rna-type,snoRNA
RF01665,rna-type,other
RF01666,fallbacks,
RF01667,fallbacks,
RF01668,rna-type,other
RF01669,rna-type,other
RF01670,rna-type,other
RF01671,rna-type,other
RF01672,rna-type,other
RF01673,rna-type,other
RF01674,rna-type,other
RF01675,rna-type,other
RF01676,rna-type,other
RF01677,rna-type,other
RF01678,rna-type,other
RF01679,rna-type,other
RF01680,rna-type,other
RF01681,rna-type,other
RF01682,rna-type,other
RF01683,rna-type,other
RF01684,so-term,other
RF01685,so-term,other
RF01686,so-term,other
RF01687,so-term,other
RF01688,fallbacks,
RF01689,fallbacks,
RF01690,so-term,other
RF01691,so-term,other
RF01692,fallbacks,
RF01693,so-term,other
RF01694,so-term,other
RF01695,so-term,antisense_RNA
RF01696,so-term,other
RF01697,fallbacks,
RF01698,so-term,other
RF01699,so-term,other
RF01700,so-term,other
RF01701,so-term,other
RF01702,so-term,other
RF01703,so-term,other
RF01704,fallbacks,
RF01705,so-term,other
RF01706,so-term,other
RF01707,fallbacks,
RF01708,fallbacks,
RF01709,fallbacks,
RF01710,so-term,other
RF01711,fallbacks,
RF01712,so-term,other
RF01713,fallbacks,
RF01714,so-term,other
RF01715,fallbacks,
RF01716,fallbacks,
RF01717,fallbacks,
RF01718,so-term,other
RF01719,so-term,other
RF01720,fallbacks,
RF01721,fallbacks,
RF01722,so-term,other
RF01723,so-term,other
RF01724,fallbacks,
RF01725,fallbacks,
RF01726,fallbacks,
RF01727,fallbacks,
RF01728,so-term,other
RF01729,fallbacks,
RF01730,fallbacks,
RF01731,fallbacks,
RF01732,so-term,other
RF01733,fallbacks,
RF01734,fallbacks,
RF01735,fallbacks,
RF01736,fallbacks,
RF01737,fallbacks,
RF01738,fallbacks,
RF01739,fallbacks,
RF01740,fallbacks,
RF01741,fallbacks,
RF01742,so-term,other
RF01743,fallbacks,
RF01744,fallbacks,
RF01745,fallbacks,
RF01746,fallbacks,
RF01747,fallbacks,
RF01748,fallbacks,
RF01749,fallbacks,
RF01750,fallbacks,
RF01751,fallbacks,
RF01752,fallbacks,
RF01753,fallbacks,
RF01754,fallbacks,
RF01755,fallbacks,
RF01756,fallbacks,
RF01757,so-term,other
RF01758,fallbacks,
RF01759,fallbacks,
RF01760,fallbacks,
RF01761,fallbacks,
RF01762,so-term,other
RF01763,fallbacks,
RF01764,fallbacks,
RF01765,fallbacks,
RF01766,fallbacks,
RF01767,fallbacks,
RF01768,fallbacks,
RF01769,fallbacks,
RF01770,fallbacks,
RF01771,fallbacks,
RF01772,fallbacks,
RF01773,fallbacks,
RF01774,fallbacks,
RF01775,rna-type,other
RF01776,fallbacks,
RF01778,so-term,lncRNA
RF01779,fallbacks,
RF01780,fallbacks,
RF01781,rna-type,other
RF01782,fallbacks,
RF01783,rna-type,other
RF01784,rna-type,other
RF01785,fallbacks,
RF01786,fallbacks,
RF01787,so-term,ribozyme
RF01788,so-term,ribozyme
RF01789,rna-type,other
RF01790,fallbacks,
RF01791,rna-type,other
RF01792,fallbacks,
RF01793,rna-type,other
RF01794,so-term,antisense_RNA
RF01795,fallbacks,
RF01796,rna-type,other
RF01797,so-term,antisense_RNA
RF01798,fallbacks,
RF01800,rna-type,lncRNA
RF01802,so-term,snRNA
RF01803,fallbacks,
RF01804,fallbacks,
RF01807,so-term,autocatalytically_spliced_intron
RF01808,rna-type,other
RF01809,so-term,antisense_RNA
RF01810,rna-type,other
RF01811,fallbacks,
RF01812,rna-type,other
RF01813,so-term,antisense_RNA
RF01814,rna-type,other
RF01815,rna-type,other
RF01816,rna-type,other
RF01817,rna-type,other
RF01818,rna-type,other
RF01819,rna-type,other
RF01820,rna-type,other
RF01821,rna-type,other
RF01822,rna-type,other
RF01823,rna-type,other
RF01824,fallbacks,
RF01825,fallbacks,
RF01826,fallbacks,
RF01827,rna-type,other
RF01828,rna-type,other
RF01829,so-term,snoRNA
RF01830,fallbacks,
RF01831,fallbacks,
RF01832,fallbacks,
RF01833,fallbacks,
RF01834,fallbacks,
RF01835,fallbacks,
RF01836,fallbacks,
RF01837,fallbacks,
RF01838,fallbacks,
RF01839,fallbacks,
RF01840,fallbacks,
RF01841,fallbacks,
RF01842,fallbacks,
RF01843,fallbacks,
RF01844,fallbacks,
RF01845,fallbacks,
RF01846,rna-type,snoRNA
RF01847,rna-type,snoRNA
RF01848,rna-type,snoRNA
RF01849,name,tmRNA
RF01850,name,tmRNA
RF01851,name,tmRNA
RF01852,rna-type,tRNA
RF01853,fallbacks,
RF01854,name,SRP_RNA
RF01855,name,SRP_RNA
RF01856,name,SRP_RNA
RF01857,name,SRP_RNA
RF01858,rna-type,other
RF01859,fallbacks,
RF01860,rna-type,snoRNA
RF01861,rna-type,snoRNA
RF01862,rna-type,snoRNA
RF01863,rna-type,snoRNA
RF01864,rna-type,snoRNA
RF01865,so-term,ribozyme
RF01866,rna-type,snoRNA
RF01867,rna-type,other
RF01871,rna-type,lncRNA
RF01872,so-term,lncRNA
RF01873,rna-type,lncRNA
RF01874,rna-type,lncRNA
RF01875,so-term,lncRNA
RF01876,so-term,lncRNA
RF01877,so-term,lncRNA
RF01879,rna-type,lncRNA
RF01880,rna-type,lncRNA
RF01881,rna-type,lncRNA
RF01882,so-term,lncRNA
RF01883,so-term,lncRNA
RF01884,rna-type,lncRNA
RF01885,so-term,lncRNA
RF01886,so-term,lncRNA
RF01887,so-term,lncRNA
RF01888,so-term,lncRNA
RF01889,so-term,lncRNA
RF01890,so-term,lncRNA
RF01891,so-term,lncRNA
RF01892,so-term,lncRNA
RF01894,so-term,lncRNA
RF01895,so-term,precursor_RNA
RF01896,so-term,precursor_RNA
RF01897,so-term,precursor_RNA
RF01898,so-term,precursor_RNA
RF01899,so-term,precursor_RNA
RF01900,so-term,precursor_RNA
RF01901,so-term,precursor_RNA
RF01902,so-term,precursor_RNA
RF01903,so-term,precursor_RNA
RF01904,so-term,lncRNA
RF01905,so-term,lncRNA
RF01906,so-term,lncRNA
RF01909,so-term,lncRNA
RF01910,so-term,precursor_RNA
RF01911,so-term,precursor_RNA
RF01912,so-term,precursor_RNA
RF01913,so-term,precursor_RNA
RF01914,so-term,precursor_RNA
RF01915,so-term,precursor_RNA
RF01916,so-term,precursor_RNA
RF01917,so-term,precursor_RNA
RF01918,so-term,precursor_RNA
RF01919,so-term,precursor_RNA
RF01920,so-term,precursor_RNA
RF01921,so-term,precursor_RNA
RF01922,so-term,precursor_RNA
RF01923,so-term,precursor_RNA
RF01924,so-term,precursor_RNA
RF01925,so-term,precursor_RNA
RF01926,so-term,precursor_RNA
RF01927,so-term,precursor_RNA
RF01928,so-term,lncRNA
RF01929,so-term,lncRNA
RF01930,so-term,lncRNA
RF01931,so-term,lncRNA
RF01932,so-term,lncRNA
RF01933,so-term,lncRNA
RF01934,so-term,lncRNA
RF01935,so-term,lncRNA
RF01936,so-term,precursor_RNA
RF01937,so-term,precursor_RNA
RF01938,so-term,precursor_RNA
RF01939,so-term,precursor_RNA
RF01940,so-term,precursor_RNA
RF01941,so-term,precursor_RNA
RF01942,so-term,precursor_RNA
RF01943,so-term,precursor_RNA
RF01944,so-term,precursor_RNA
RF01945,so-term,precursor_RNA
RF01946,so-term,lncRNA
RF01947,so-term,lncRNA
RF01948,so-term,lncRNA
RF01950,so-term,lncRNA
RF01951,so-term,lncRNA
RF01952,so-term,lncRNA
RF01953,so-term,lncRNA
RF01954,so-term,lncRNA
RF01955,so-term,lncRNA
RF01956,so-term,lncRNA
RF01957,so-term,lncRNA
RF01959,rna-type,rRNA
